OrderId,Symbol,Side,CashMargin,Qty,Price
20260604A01N79358487,1627,2,2,5,11590.0
20260604A01N79358504,1617,2,2,1,45250.0
20260604A01N79358515,1630,2,2,1,36620.0
20260604A01N79358533,1621,2,2,2,28440.0
20260604A01N79358545,1628,2,2,2,20280.0
20260604A01N79358571,1618,1,2,1,34280.0
20260604A01N79358596,1631,1,2,1,36020.0
20260604A01N80359656,1627,1,3,5,11365.0
20260604A01N80359673,1617,1,3,1,44660.0
20260604A01N80359679,1630,1,3,1,36270.0
20260604A01N80359683,1621,1,3,2,28510.0
20260604A01N80359687,1628,1,3,2,20210.0
