日付,銘柄,名称,方向,始値,終値,数量,損益(円),OC騰落率(%),備考
2026-06-05,1617.T,食品,★ LONG,44010.0,44740.0,4,2920,1.659,仮想(板)
2026-06-05,1627.T,電力・ガス,★ LONG,11365.0,11340.0,17,-425,-0.22,仮想(板)
2026-06-05,1630.T,小売,★ LONG,36230.0,36780.0,5,2750,1.518,仮想(板)
2026-06-05,1621.T,医薬品,★ LONG,28530.0,28870.0,7,2380,1.192,仮想(板)
2026-06-05,1626.T,情報通信・サービス,★ LONG,42550.0,43750.0,4,4800,2.82,仮想(板)
2026-06-05,1619.T,建設・資材,▼ SHORT,46980.0,46690.0,4,1160,-0.617,仮想(板)
2026-06-05,1618.T,エネルギー資源,▼ SHORT,33310.0,33540.0,6,-1380,0.69,仮想(板)
2026-06-05,1631.T,銀行,▼ SHORT,36670.0,36870.0,5,-1000,0.545,仮想(板)
2026-06-08,1617.T,食品,★ LONG,,44740.0,,,,価格取得不可
2026-06-08,1627.T,電力・ガス,★ LONG,11470.0,11305.0,17,-2805,-1.439,仮想(板)
2026-06-08,1630.T,小売,★ LONG,37180.0,36360.0,5,-4100,-2.205,仮想(板)
2026-06-08,1621.T,医薬品,★ LONG,28990.0,28420.0,6,-3420,-1.966,仮想(板)
2026-06-08,1628.T,運輸・物流,★ LONG,20795.0,20750.0,9,-405,-0.216,仮想(板)
2026-06-08,1618.T,エネルギー資源,▼ SHORT,33240.0,33360.0,6,-720,0.361,仮想(板)
2026-06-08,1631.T,銀行,▼ SHORT,,37280.0,,,,価格取得不可
2026-06-08,1625.T,電機・精密,▼ SHORT,4918.0,5033.0,40,-4600,2.338,仮想(板)
2026-06-09,1625.T,電機・精密,★ LONG,4933.0,4873.0,40,-2400,-1.216,仮想(板)
2026-06-09,1631.T,銀行,★ LONG,37750.0,37200.0,5,-2750,-1.457,仮想(板)
2026-06-09,1618.T,エネルギー資源,★ LONG,32660.0,32130.0,6,-3180,-1.623,仮想(板)
2026-06-09,1623.T,鉄鋼・非鉄,★ LONG,64560.0,62250.0,3,-6930,-3.578,仮想(板)
