日付,合計損益(円),損益率(%),勝敗,ポジション数
2026-06-05,11205,1.121,W,8
2026-06-08,-16050,-1.605,L,6
2026-06-09,-25855,-2.586,L,8
2026-06-10,-18223,-1.822,L,8
2026-06-11,2335,0.233,W,6
2026-06-15,1885,0.189,W,5
2026-06-16,-210,-0.021,L,5
2026-06-17,779,0.078,W,8
2026-06-18,-460,-0.046,L,4
2026-06-19,8666,0.867,W,8
2026-06-22,-37015,-3.701,L,8
2026-06-23,3459,0.346,W,9
2026-06-24,8020,0.802,W,9
2026-06-25,15465,1.546,W,9
2026-06-26,2480,0.248,W,9
2026-06-29,-2491,-0.249,L,9
2026-06-30,-2647,-0.265,L,8
2026-07-01,-12145,-1.214,L,8
2026-07-02,-30281,-3.028,L,9
2026-07-03,-4353,-0.435,L,8
2026-07-06,-11195,-1.119,L,8
2026-07-07,-4559,-0.456,L,9
2026-07-08,-6326,-0.633,L,9
2026-07-09,5095,0.509,W,8
2026-07-10,-10328,-1.033,L,8
2026-07-13,-1535,-0.153,L,7
2026-07-14,7154,0.715,W,8
2026-07-15,-22189,-2.219,L,8
2026-07-16,15352,1.535,W,9
2026-07-20,21448,2.145,W,8
