日付,Ticker,名称,方向,始値,終値,OC騰落率(%),配分金額(円),損益(円),スリッページ(円),備考
2026-05-21,1617.T,食品,★ LONG,46070.0,45490.0,-1.259,60000.0,-755.0,,
2026-05-21,1621.T,医薬品,★ LONG,30550.0,30220.0,-1.08,60000.0,-648.0,,
2026-05-21,1630.T,小売,★ LONG,36440.0,36400.0,-0.11,60000.0,-66.0,,
2026-05-21,1627.T,電力・ガス,★ LONG,11810.0,11565.0,-2.075,60000.0,-1245.0,,
2026-05-21,1628.T,運輸・物流,★ LONG,21100.0,20845.0,-1.209,60000.0,-725.0,,
2026-05-21,1624.T,機械,▼ SHORT,85870.0,87520.0,1.922,60000.0,-1153.0,,
2026-05-21,1631.T,銀行,▼ SHORT,36310.0,36370.0,0.165,60000.0,-99.0,,
2026-05-21,1618.T,エネルギー資源,▼ SHORT,34730.0,34840.0,0.317,60000.0,-190.0,,
2026-05-21,200A.T,電機・精密,▼ SHORT,4447.0,4410.0,-0.832,60000.0,499.0,,
2026-05-21,8058.T,商社・卸売,▼ SHORT,5411.0,5432.0,0.388,60000.0,-233.0,,
2026-05-22,1617.T,食品,★ LONG,45990.0,45470.0,-1.131,60000.0,-678.0,,
2026-05-22,1621.T,医薬品,★ LONG,30570.0,30310.0,-0.851,60000.0,-510.0,,
2026-05-22,1630.T,小売,★ LONG,36480.0,35980.0,-1.371,60000.0,-822.0,,
2026-05-22,1627.T,電力・ガス,★ LONG,11575.0,11600.0,0.216,60000.0,130.0,,
2026-05-22,1619.T,建設・資材,★ LONG,47590.0,48580.0,2.08,60000.0,1248.0,,
2026-05-22,1624.T,機械,▼ SHORT,89020.0,87980.0,-1.168,60000.0,701.0,,
2026-05-22,1631.T,銀行,▼ SHORT,36170.0,36100.0,-0.194,60000.0,116.0,,
2026-05-22,200A.T,電機・精密,▼ SHORT,4535.0,4772.0,5.226,60000.0,-3136.0,,
2026-05-22,8058.T,商社・卸売,▼ SHORT,5400.0,5320.0,-1.481,60000.0,889.0,,
2026-05-22,1618.T,エネルギー資源,▼ SHORT,34600.0,34050.0,-1.59,60000.0,954.0,,
2026-05-26,1627.T,電力・ガス,★ LONG,11505.0,11675.0,1.478,60000.0,887.0,,
2026-05-26,1617.T,食品,★ LONG,45550.0,45360.0,-0.417,60000.0,-250.0,,
2026-05-26,1621.T,医薬品,★ LONG,29620.0,29920.0,1.013,60000.0,608.0,,
2026-05-26,1630.T,小売,★ LONG,35740.0,36070.0,0.923,60000.0,554.0,,
2026-05-26,1628.T,運輸・物流,★ LONG,20630.0,20555.0,-0.364,60000.0,-218.0,,
2026-05-26,1343.T,不動産,▼ SHORT,1934.5,1937.0,0.129,60000.0,-78.0,,
2026-05-26,1619.T,建設・資材,▼ SHORT,49400.0,48470.0,-1.883,60000.0,1130.0,,
2026-05-26,1618.T,エネルギー資源,▼ SHORT,33670.0,34190.0,1.544,60000.0,-927.0,,
2026-05-26,1631.T,銀行,▼ SHORT,35710.0,35590.0,-0.336,60000.0,202.0,,
2026-05-26,8058.T,商社・卸売,▼ SHORT,5182.0,5124.0,-1.119,60000.0,672.0,,
2026-05-27,1630.T,小売,★ LONG,36200.0,36450.0,0.691,60000.0,414.0,,
2026-05-27,1617.T,食品,★ LONG,45740.0,45330.0,-0.896,60000.0,-538.0,,
2026-05-27,1621.T,医薬品,★ LONG,29980.0,29655.0,-1.084,60000.0,-650.0,,
2026-05-27,1627.T,電力・ガス,★ LONG,11790.0,11495.0,-2.502,60000.0,-1501.0,,
