Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1625.T,電機・精密,0.0229672887554296,1,0.2,★ LONG ,+20.0
1629.T,商社・卸売,0.01997171464716425,2,0.2,★ LONG ,+20.0
1618.T,エネルギー資源,0.018294753324330792,3,0.2,★ LONG ,+20.0
1631.T,銀行,0.017698784314460658,4,0.2,★ LONG ,+20.0
1624.T,機械,0.003954340133056543,5,0.2,★ LONG ,+20.0
1623.T,鉄鋼・非鉄,0.003619895132214067,6,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.0027735930041776977,7,0.0,  -   ,+0.0
1620.T,素材・化学,0.0022516398006647673,8,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.00019191049824159403,9,0.0,  -   ,+0.0
1619.T,建設・資材,-0.0001714891121034747,10,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.00039620754440076403,11,0.0,  -   ,+0.0
1633.T,不動産,-0.0021153995182397775,12,0.0,  -   ,+0.0
1628.T,運輸・物流,-0.004180098463195571,13,-0.2,▼ SHORT,-20.0
1627.T,電力・ガス,-0.020389769459616628,14,-0.2,▼ SHORT,-20.0
1630.T,小売,-0.020541914255650676,15,-0.2,▼ SHORT,-20.0
1621.T,医薬品,-0.02106342077752306,16,-0.2,▼ SHORT,-20.0
1617.T,食品,-0.021651600855301698,17,-0.2,▼ SHORT,-20.0
